"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.327257708E0,-1.281111208E0,-3.903004754E-1,-6.612978709E-1
2.337304708E0,-1.296979236E0,-4.186202949E-1,-7.181561959E-1
2.347351708E0,-1.318847384E0,-3.820696422E-1,-6.842394215E-1
2.357398708E0,-1.319774460E0,-3.451979774E-1,-5.336268407E-1
2.367445708E0,-1.335418832E0,-3.555180207E-1,-4.755037630E-1
2.377492708E0,-1.343944072E0,-3.421907544E-1,-5.511158627E-1
2.387539708E0,-1.337113355E0,-3.489632919E-1,-5.231433678E-1
2.397587708E0,-1.284016690E0,-2.973376402E-1,-4.520575976E-1
2.407634708E0,-1.092475646E0,-1.673876578E-1,-3.679231811E-1
2.417681708E0,-7.575485223E-1,1.390175521E-2,-1.317903936E-1
2.427728708E0,-3.617963223E-1,2.216474801E-1,1.446530986E-1
2.437775750E0,2.370826676E-2,3.302139026E-1,4.253282207E-1
2.447822750E0,2.195889679E-1,3.640391681E-1,5.533682102E-1
2.457869750E0,4.285078270E-1,2.797199795E-1,5.962686467E-1
2.467916750E0,6.942868383E-1,1.275865379E-1,6.780928284E-1
2.477963750E0,8.586275851E-1,8.794972479E-2,8.507505816E-1
2.488011750E0,8.655210869E-1,8.804825038E-2,1.072267669E0
2.498058750E0,7.353062987E-1,9.359199554E-2,1.232297190E0
2.508105750E0,5.752286472E-1,6.857819170E-2,1.181886590E0
2.518152750E0,3.803594778E-1,-2.645338833E-2,9.218398601E-1
2.528199750E0,1.889822292E-1,-1.260870194E-1,6.218414444E-1
2.538246750E0,8.576953562E-2,-2.449764088E-1,3.581337726E-1
2.548293750E0,7.931378927E-2,-5.511401287E-1,7.621377826E-2
2.558340750E0,8.104304848E-2,-8.217966315E-1,-3.546897626E-1
2.568387750E0,2.801388959E-1,-9.238793689E-1,-7.553631985E-1
2.578435750E0,5.510595102E-1,-9.602092892E-1,-9.468408000E-1
2.588482750E0,6.785102465E-1,-8.463426581E-1,-8.765087360E-1
2.598529750E0,5.875308966E-1,-5.697874841E-1,-5.978456408E-1
2.608576750E0,3.402538642E-1,-3.950940228E-1,-1.537116051E-2
2.618623750E0,4.781728707E-2,-1.882437989E-1,8.064082217E-1
2.628670750E0,-3.851142874E-1,4.235723019E-2,1.466107464E0
2.638717750E0,-6.894718024E-1,2.511703643E-1,1.731809036E0
2.648764750E0,-6.754207239E-1,2.919158095E-1,1.681431765E0
2.658811750E0,-6.131179103E-1,1.940354660E-1,1.524467939E0
2.668858750E0,-6.869683901E-1,1.297812903E-1,1.189904877E0
2.678906750E0,-7.128784990E-1,6.411998212E-2,8.187984717E-1
